cell_sets_per_sec,decoder_loss,epoch,mfu (%),step,train_loss,val/decoder_loss,val_loss
8.459850311279297,0.5671032667160034,1,2.5186092853546143,49,0.010544118471443653,,
7.709761619567871,0.6170856356620789,2,3.7472476959228516,99,0.010304613970220089,,
7.471935749053955,0.7737851142883301,3,3.631654977798462,149,0.012607228942215443,,
,0.5772003531455994,5,,199,0.009763341397047043,,
7.799434185028076,0.8962509036064148,6,3.790832042694092,249,0.011163461022078991,,
7.913158893585205,0.7341793775558472,7,3.846107006072998,299,0.01041270513087511,,
,0.6275781393051147,9,,349,0.01074544619768858,,
8.407346725463867,0.5519777536392212,10,2.5029780864715576,399,0.009583485312759876,,
7.85042667388916,0.49812349677085876,11,3.8156166076660156,449,0.00812945980578661,,
,0.5767147541046143,13,,499,0.009026328101754189,,
,,13,,499,,15.430542945861816,0.514909565448761
7.715451717376709,1.174493670463562,14,2.296992063522339,549,0.01370497327297926,,
7.324442386627197,0.6715037822723389,15,3.559967517852783,599,0.009297464042901993,,
,0.5388290286064148,17,,649,0.007917930372059345,,
7.955865383148193,0.4443451762199402,18,2.3685662746429443,699,0.006963822524994612,,
6.620843887329102,0.6968521475791931,19,3.2179908752441406,749,0.009359103627502918,,
,0.6382128596305847,21,,799,0.010013592429459095,,
7.548595428466797,0.5519697070121765,22,2.247316598892212,849,0.0084943613037467,,
6.735987186431885,0.672269344329834,23,3.2739551067352295,899,0.010688044130802155,,
7.271537780761719,0.5012664198875427,24,3.5342538356781006,949,0.007194653153419495,,
7.528724670410156,0.5498017072677612,26,2.241400957107544,999,0.008773013018071651,,
,,26,,999,,14.293052673339844,0.5031819939613342
8.037646293640137,0.6070855855941772,27,3.9066126346588135,1049,0.008857864886522293,,
7.555049419403076,0.7651784420013428,28,3.6720516681671143,1099,0.011279252357780933,,
,0.5653950572013855,30,,1149,0.008387361653149128,,
7.780973434448242,0.8811007738113403,31,3.7818596363067627,1199,0.009933995082974434,,
7.770373821258545,0.737761914730072,32,3.776707649230957,1249,0.009424878284335136,,
,0.6183418035507202,34,,1299,0.009985816664993763,,
7.739285469055176,0.5368189215660095,35,2.3040876388549805,1349,0.00868235994130373,,
8.410055160522461,0.4962610602378845,36,4.087618350982666,1399,0.007334025111049414,,
