batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cell_sets_per_sec,epoch,flops_per_batch,mfu (%),step,train_loss,val_loss
,,,,,,3.4738998413085938,0,15147900862464.0,5.481488227844238,49,4.567669868469238,
,,,,,,2.1980841159820557,1,,3.4683709144592285,99,0.9765567779541016,
,,,,,,,2,,,149,1.1709551811218262,
0.3809925615787506,11.4963960647583,0.5071640014648438,6.480564594268799,0.07825922966003418,2.624723196029663,2.1474711894989014,2,,3.3885083198547363,199,1.0275659561157227,
,,,,,,2.4047443866729736,3,,3.794461250305176,249,1.2934844493865967,
,,,,,,2.8716626167297363,4,,2.5976996421813965,299,0.7344822883605957,
0.38076797127723694,7.403206825256348,0.5143153667449951,2.253976345062256,0.2281813621520996,2.6262712478637695,2.6327922344207764,4,,4.154299259185791,349,1.011767029762268,
,,,,,,3.0222697257995605,5,,4.768858432769775,399,2.9592015743255615,
,,,,,,2.040940761566162,6,,3.2204132080078125,449,0.71185302734375,
,,,,,,,7,,,499,0.7690539360046387,
,,,,,,,7,,,499,,11.181955337524414
0.38344860076904297,13.279290199279785,0.5269906520843506,7.038440704345703,0.07487320899963379,2.6079113483428955,2.18683123588562,7,,3.4506149291992188,549,0.6233253479003906,
,,,,,,2.5155131816864014,8,,3.9692440032958984,599,1.2235393524169922,
,,,,,,2.9987680912017822,9,,2.712678909301758,649,0.5490579605102539,
0.37661030888557434,10.057401657104492,0.4680912494659424,5.588639736175537,0.08375763893127441,2.6552646160125732,2.527242660522461,9,,3.9877521991729736,699,0.7414271235466003,
,,,,,,3.0905203819274902,10,,4.876551628112793,749,2.918586492538452,
,,,,,,1.9980924129486084,11,,3.1528027057647705,799,1.0612082481384277,
,,,,,,,12,,,849,0.7244651317596436,
0.37819352746009827,11.681594848632812,0.5266950130462646,6.536183834075928,0.0805814266204834,2.644148826599121,2.165440559387207,12,,3.4168624877929688,899,0.6035337448120117,
,,,,,,2.490783929824829,13,,3.9302237033843994,949,1.1382405757904053,
,,,,,,2.8764634132385254,14,,2.6020424365997314,999,0.5326628684997559,
