batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,lr-AdamW,lr/group_0,opt/beta1,opt/beta2,opt/eps,opt/weight_decay,step,train_loss,val_loss
,,,,,,,9.99996667624714e-05,,,,,,49,,
,,,,,,0,,9.999965550377965e-05,,,,,49,0.2737210690975189,
,,,,,,,9.999863971320545e-05,,,,,,99,,
0.163685604929924,45.119510650634766,0.6835293769836426,5.171687126159668,0.13216757774353027,6.1092729568481445,0,,9.999861504184082e-05,,,,,99,0.40256500244140625,
,,,,,,,9.999691872924917e-05,,,,,,149,,
0.1745186597108841,44.00068283081055,0.6039731502532959,4.236553192138672,0.1425623893737793,5.730046272277832,0,,9.999687608797103e-05,,,,,149,0.4968223571777344,
,,,,,,0,,,0.8999999761581421,0.9990000128746033,9.99999993922529e-09,0.0010000000474974513,184,,
,,,,,,,9.99945038371422e-05,,,,,,199,,
,,,,,,1,,9.99944459181279e-05,,,,,199,0.3422311246395111,
,,,,,,,9.999139507412519e-05,,,,,,249,,
0.14983421564102173,10.174588203430176,0.19407105445861816,2.484147310256958,0.07812380790710449,6.674042701721191,1,,9.999132453231141e-05,,,,,249,1.6762542724609375,
,,,,,,,9.998759248813919e-05,,,,,,299,,
0.26329824328422546,46.396671295166016,0.7136294841766357,4.946683883666992,0.14426422119140625,3.7979745864868164,1,,9.998751193052158e-05,,,,,299,0.40800604224205017,
,,,,,,,9.99830961378247e-05,,,,,,349,,
0.1581432819366455,11.746808052062988,0.23311972618103027,1.7353297472000122,0.1343374252319336,6.323379993438721,1,,9.998300083680078e-05,,,,,349,0.35487112402915955,
,,,,,,,9.997790609252105e-05,,,,,,399,,
,,,,,,2,,9.997779852710664e-05,,,,,399,0.5541413426399231,
,,,,,,,9.997202243226515e-05,,,,,,449,,
0.20039235055446625,94.80274963378906,1.805161714553833,24.838340759277344,0.07267642021179199,4.99021053314209,2,,9.997189772548154e-05,,,,,449,0.5189361572265625,
,,,,,,,9.996544524779037e-05,,,,,,499,,
0.1941947638988495,39.85359573364258,0.4246358871459961,2.848407030105591,0.149078369140625,5.149469375610352,2,,9.996530570788309e-05,,,,,499,0.41334405541419983,
,,,,,,2,,,,,,,499,,9.576410293579102
,,,,,,,9.995817464052492e-05,,,,,,549,,
0.2231958657503128,42.069549560546875,0.3825416564941406,2.905258893966675,0.13167214393615723,4.480369567871094,2,,9.995802247431129e-05,,,,,549,0.47255197167396545,
,,,,,,,9.995021072259061e-05,,,,,,599,,
,,,,,,3,,9.995004074880853e-05,,,,,599,0.39416566491127014,
,,,,,,,9.994155361680089e-05,,,,,,649,,
0.18814517557621002,44.371524810791016,0.5551888942718506,7.789079666137695,0.07127785682678223,5.315044403076172,3,,9.994137508329004e-05,,,,,649,0.3518409729003906,
,,,,,,,9.993220345665913e-05,,,,,,699,,
0.18100929260253906,41.415679931640625,0.44740867614746094,3.388744354248047,0.13202786445617676,5.52457857131958,3,,9.993201092584059e-05,,,,,699,0.4578755795955658,
,,,,,,,9.992216038635626e-05,,,,,,749,,
,,,,,,4,,9.992195555241778e-05,,,,,749,0.2820803225040436,
,,,,,,,9.991142456076888e-05,,,,,,799,,
0.20260167121887207,48.96013641357422,0.5632343292236328,4.2131266593933105,0.13368558883666992,4.935793399810791,4,,9.991120168706402e-05,,,,,799,0.35070672631263733,
,,,,,,,9.989999614545665e-05,,,,,,849,,
0.18806883692741394,39.41565704345703,0.44584083557128906,3.4068796634674072,0.13086485862731934,5.317202091217041,4,,9.989976388169453e-05,,,,,849,0.41343817114830017,
,,,,,,,9.988787531665992e-05,,,,,,899,,
0.19576676189899445,54.411773681640625,0.6153819561004639,4.41017484664917,0.13953685760498047,5.108119487762451,4,,9.988762758439407e-05,,,,,899,0.3872884213924408,
,,,,,,,9.987506226129688e-05,,,,,,949,,
,,,,,,5,,9.987480007112026e-05,,,,,949,0.5101280212402344,
,,,,,,,9.986155717696071e-05,,,,,,999,,
0.22141437232494354,46.40616226196289,0.6023907661437988,4.509371757507324,0.13358640670776367,4.516418933868408,5,,9.986128134187311e-05,,,,,999,0.28087106347084045,
,,,,,,5,,,,,,,999,,9.656821250915527
,,,,,,,9.984736027191642e-05,,,,,,1049,,
0.20164677500724792,52.96908187866211,0.6745731830596924,5.06184720993042,0.13326621055603027,4.959167003631592,5,,9.984707139665261e-05,,,,,1049,0.4991111755371094,
,,,,,,,9.9832471765098e-05,,,,,,1099,,
0.18583868443965912,38.474891662597656,0.44131016731262207,3.2892730236053467,0.13416647911071777,5.381011009216309,5,,9.983217023545876e-05,,,,,1099,0.3875821530818939,
,,,,,,,9.98168918861045e-05,,,,,,1149,,
,,,,,,6,,9.981657058233395e-05,,,,,1149,0.43298593163490295,
,,,,,,,9.980062087519696e-05,,,,,,1199,,
0.20933178067207336,46.862606048583984,0.5607383251190186,4.302887916564941,0.13031673431396484,4.777105331420898,6,,9.980028698919341e-05,,,,,1199,0.5326309204101562,
,,,,,,,9.978365898329454e-05,,,,,,1249,,
0.18816618621349335,48.4075927734375,0.5485556125640869,4.141870498657227,0.13244152069091797,5.314451217651367,6,,9.978331218007952e-05,,,,,1249,0.32653936743736267,
,,,,,,,9.976600647197054e-05,,,,,,1299,,
,,,,,,7,,9.976564615499228e-05,,,,,1299,0.24216461181640625,
,,,,,,,9.974766361344858e-05,,,,,,1349,,
0.1945810616016388,47.066505432128906,0.5723130702972412,4.3861870765686035,0.13048076629638672,5.139246463775635,7,,9.97472889139317e-05,,,,,1349,0.4299252927303314,
,,,,,,,9.972863069059826e-05,,,,,,1399,,
0.22087883949279785,45.40654754638672,0.5299656391143799,4.056723594665527,0.13063883781433105,4.527369022369385,7,,9.972824045689777e-05,,,,,1399,0.8041508793830872,
,,,,,,,9.970890799693075e-05,,,,,,1449,,
0.2269550859928131,59.1124153137207,0.5946979522705078,4.433333396911621,0.13414239883422852,4.406157970428467,7,,9.97085080598481e-05,,,,,1449,0.49030303955078125,
,,,,,,,9.968849583659438e-05,,,,,,1499,,
,,,,,,8,,9.968807717086747e-05,,,,,1499,0.6012369990348816,
,,,,,,8,,,,,,,1499,,9.60364818572998
,,,,,,,9.966739452436994e-05,,,,,,1549,,
0.21218417584896088,49.993282318115234,0.6062567234039307,8.291568756103516,0.07311725616455078,4.712886810302734,8,,9.966696234187111e-05,,,,,1549,0.3950589597225189,
,,,,,,,9.964560438566569e-05,,,,,,1599,,
0.22122161090373993,53.332611083984375,0.6407103538513184,4.844330310821533,0.13225984573364258,4.520354270935059,8,,9.964516357285902e-05,,,,,1599,0.19671885669231415,
,,,,,,,9.962312575651259e-05,,,,,,1649,,
0.2110651731491089,50.43268585205078,0.5877304077148438,4.361044883728027,0.13476824760437012,4.737873077392578,8,,9.962266631191596e-05,,,,,1649,0.2429300993680954,
,,,,,,,9.959995898355887e-05,,,,,,1699,,
,,,,,,9,,9.959948511095718e-05,,,,,1699,0.26046624779701233,
,,,,,,,9.957610442406484e-05,,,,,,1749,,
0.22230437397956848,55.675575256347656,0.8227095603942871,6.3079142570495605,0.13042497634887695,4.498337268829346,9,,9.957561996998265e-05,,,,,1749,0.2746836245059967,
,,,,,,,9.955156244589737e-05,,,,,,1799,,
0.21633386611938477,48.87758255004883,0.558483362197876,4.147043228149414,0.13467025756835938,4.6224846839904785,9,,9.955106361303478e-05,,,,,1799,0.2773068845272064,
,,,,,,,9.952633342752403e-05,,,,,,1849,,
0.23975345492362976,50.83748245239258,0.5886554718017578,4.307374477386475,0.13666224479675293,4.1709513664245605,9,,9.952582331607118e-05,,,,,1849,0.4046173095703125,
,,,,,,,9.950041775800757e-05,,,,,,1899,,
,,,,,,10,,9.949989180313423e-05,,,,,1899,0.2711753845214844,
,,,,,,,9.947381583699974e-05,,,,,,1949,,
0.20221449434757233,43.55478286743164,0.45397090911865234,6.088846683502197,0.07455778121948242,4.945243835449219,10,,9.947327635018155e-05,,,,,1949,0.32537841796875,
,,,,,,,9.944652807473495e-05,,,,,,1999,,
0.1990797221660614,45.410518646240234,0.4450521469116211,3.359677791595459,0.13246870040893555,5.023113250732422,10,,9.944597695721313e-05,,,,,1999,0.4292958676815033,
,,,,,,10,,,,,,,1999,,9.863090515136719
,,,,,,,9.941855489202426e-05,,,,,,2049,,
,,,,,,11,,9.941798634827137e-05,,,,,2049,0.32093873620033264,
,,,,,,,9.938989672024875e-05,,,,,,2099,,
0.1824851930141449,39.028411865234375,0.366840124130249,4.632222652435303,0.079193115234375,5.479896545410156,11,,9.938931907527149e-05,,,,,2099,1.7367973327636719,
,,,,,,,9.936055400135283e-05,,,,,,2149,,
0.183184415102005,45.62129211425781,0.56783127784729,4.278961181640625,0.13270306587219238,5.458979606628418,11,,9.935996058629826e-05,,,,,2149,0.29748788475990295,
,,,,,,,9.933052718783767e-05,,,,,,2199,,
0.18051624298095703,55.55747985839844,0.7180252075195312,5.358137130737305,0.13400650024414062,5.53966760635376,11,,9.93299181573093e-05,,,,,2199,0.29833984375,
,,,,,,,9.929981674275379e-05,,,,,,2249,,
,,,,,,12,,9.929919906426221e-05,,,,,2249,0.4748903810977936,
,,,,,,,9.92684231396943e-05,,,,,,2299,,
0.17656481266021729,38.41477584838867,0.3757450580596924,5.174862861633301,0.07260966300964355,5.663642883300781,12,,9.926778875524178e-05,,,,,2299,0.5414530634880066,
,,,,,,,9.923634686278736e-05,,,,,,2349,,
0.15790174901485443,20.25416374206543,0.36885857582092285,2.747429370880127,0.13425588607788086,6.333051681518555,12,,9.923570178216323e-05,,,,,2349,0.42729949951171875,
,,,,,,,9.92035884066888e-05,,,,,,2399,,
0.16099482774734497,22.30108642578125,0.3901081085205078,2.9915459156036377,0.1304035186767578,6.2113800048828125,12,,9.920292359311134e-05,,,,,2399,0.4042421877384186,
,,,,,,,9.91701482765746e-05,,,,,,2449,,
,,,,,,13,,9.916947601595894e-05,,,,,2449,0.39970651268959045,
,,,,,,,9.913602698813286e-05,,,,,,2499,,
0.1684027761220932,41.143917083740234,0.5392954349517822,7.342243671417236,0.07345104217529297,5.938144207000732,13,,9.913533722283319e-05,,,,,2499,0.23849551379680634,
,,,,,,13,,,,,,,2499,,9.994743347167969
,,,,,,,9.91012250675561e-05,,,,,,2549,,
0.1765056550502777,33.609493255615234,0.34346556663513184,2.532275676727295,0.1356351375579834,5.66554069519043,13,,9.910052176564932e-05,,,,,2549,0.46234893798828125,
,,,,,,,9.9065743051533e-05,,,,,,2599,,
,,,,,,14,,9.906502964440733e-05,,,,,2599,0.2690671384334564,
,,,,,,,9.902958148724024e-05,,,,,,2649,,
0.18080909550189972,42.09758758544922,0.48180317878723145,5.9215826988220215,0.08136391639709473,5.530694961547852,14,,9.902885358314961e-05,,,,,2649,0.34040579199790955,
,,,,,,,9.899274093233364e-05,,,,,,2699,,
0.16771142184734344,56.07732009887695,0.8236548900604248,6.17683219909668,0.1333458423614502,5.962623119354248,14,,9.899199358187616e-05,,,,,2699,0.45763397216796875,
,,,,,,,9.895522195494031e-05,,,,,,2749,,
0.18568842113018036,38.331268310546875,0.37283921241760254,2.783024549484253,0.13396906852722168,5.3853654861450195,14,,9.89544641925022e-05,,,,,2749,0.3042093813419342,
,,,,,,,9.891702513364925e-05,,,,,,2799,,
,,,,,,15,,9.891625086311251e-05,,,,,2799,0.4298184812068939,
,,,,,,,9.887815105750263e-05,,,,,,2849,,
0.16159532964229584,33.59868240356445,0.439197301864624,6.041404724121094,0.07269787788391113,6.188297748565674,15,,9.887736814562231e-05,,,,,2849,0.27230072021484375,
,,,,,,,9.883860032598688e-05,,,,,,2899,,
0.15178824961185455,3.149395227432251,0.1630842685699463,1.2093943357467651,0.13484787940979004,6.588125705718994,15,,9.883780148811638e-05,,,,,2899,0.4075864255428314,
,,,,,,,9.879837354902324e-05,,,,,,2949,,
0.16990014910697937,32.640892028808594,0.3704416751861572,2.8089542388916016,0.13187885284423828,5.885809898376465,15,,9.879756544250995e-05,,,,,2949,0.3411903381347656,
,,,,,,,9.87574713469583e-05,,,,,,2999,,
,,,,,,16,,9.875664545688778e-05,,,,,2999,0.4524904787540436,
,,,,,,16,,,,,,,2999,,9.900200843811035
,,,,,,,9.871589435055454e-05,,,,,,3049,,
0.163488507270813,34.291587829589844,0.4179961681365967,5.654125690460205,0.07392764091491699,6.11663818359375,16,,9.871505608316511e-05,,,,,3049,0.49758657813072205,
,,,,,,,9.86736432009808e-05,,,,,,3099,,
0.17804093658924103,44.864383697509766,0.5654780864715576,4.159111022949219,0.13596129417419434,5.61668586730957,16,,9.867279004538432e-05,,,,,3099,0.4059486389160156,
,,,,,,,9.863071854980204e-05,,,,,,3149,,
,,,,,,17,,9.862985461950302e-05,,,,,3149,0.2224985808134079,
,,,,,,,9.85871210589694e-05,,,,,,3199,,
0.1700354367494583,25.228361129760742,0.3501148223876953,2.6579208374023438,0.13172507286071777,5.881126880645752,17,,9.85862425295636e-05,,,,,3199,0.289520263671875,
,,,,,,,9.854285140081029e-05,,,,,,3249,,
0.2070038616657257,44.03550720214844,0.4451417922973633,3.3384592533111572,0.13333749771118164,4.830827713012695,17,,9.854196105152369e-05,,,,,3249,0.7794189453125,
,,,,,,,9.84979102580175e-05,,,,,,3299,,
0.20466890931129456,53.17198181152344,0.592315673828125,4.341125011444092,0.1364428997039795,4.885940074920654,17,,9.849700290942565e-05,,,,,3299,0.38787588477134705,
,,,,,,,9.845229832363905e-05,,,,,,3349,,
,,,,,,18,,9.845138265518472e-05,,,,,3349,0.591583251953125,
,,,,,,,9.840601630106741e-05,,,,,,3399,,
